side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,entry_year
SELL,2024-02-05 16:00:00,2024-02-06 08:00:00,42644.04,43009.017796204644,STOP,-0.8558705887262155,2024
BUY,2024-02-17 22:00:00,2024-02-18 02:00:00,51803.8,51350.99238963148,STOP,-0.8740818441282753,2024
BUY,2024-02-20 14:00:00,2024-02-20 14:00:00,52840.14,52379.342098157795,STOP,-0.8720603348935199,2024
SELL,2024-02-26 10:00:00,2024-02-26 10:00:00,50950.0,51233.27044181548,STOP,-0.5559773146525665,2024
BUY,2024-02-26 15:00:00,2024-02-26 15:00:00,51687.03,52363.87833727389,TAKE_PROFIT,1.3095129228239502,2024
BUY,2024-03-06 12:00:00,2024-03-06 12:00:00,67301.31,65421.01047880365,STOP,-2.793852781166295,2024
BUY,2024-03-11 08:00:00,2024-03-12 14:00:00,71019.99,72959.03550256033,TAKE_PROFIT,2.7302812948302715,2024
BUY,2024-03-13 08:00:00,2024-03-13 13:00:00,72855.15,71913.70076816331,STOP,-1.2922205662011306,2024
BUY,2024-03-28 15:00:00,2024-03-28 16:00:00,71537.97,70631.92121495547,STOP,-1.2665285093280327,2024
SELL,2024-04-01 06:00:00,2024-04-01 07:00:00,69167.47,69753.28589176331,STOP,-0.8469528981807658,2024
SELL,2024-04-05 06:00:00,2024-04-05 14:00:00,66888.03,67914.20622020357,STOP,-1.5341701948817676,2024
BUY,2024-04-06 23:00:00,2024-04-07 16:00:00,69056.0,70181.83701742679,TAKE_PROFIT,1.6303246892765164,2024
BUY,2024-04-10 20:00:00,2024-04-12 14:00:00,70084.0,69270.01,TREND_REVERSAL,-1.1614491182010234,2024
SELL,2024-04-19 02:00:00,2024-04-19 04:00:00,61021.99,62208.83871540692,STOP,-1.9449524923833565,2024
SELL,2024-04-29 03:00:00,2024-04-29 22:00:00,62706.34,63227.919665239155,STOP,-0.8317813880369325,2024
SELL,2024-04-30 09:00:00,2024-04-30 16:00:00,61919.32,60241.038100818885,TAKE_PROFIT,2.710433349689749,2024
SELL,2024-05-10 15:00:00,2024-05-12 16:00:00,61063.87,61885.99694069488,STOP,-1.3463393995416235,2024
SELL,2024-05-14 10:00:00,2024-05-15 09:00:00,61797.84,62396.876019635456,STOP,-0.9693478277484449,2024
BUY,2024-05-15 13:00:00,2024-05-15 18:00:00,63757.57,65278.84897950812,TAKE_PROFIT,2.386036637701404,2024
BUY,2024-05-17 15:00:00,2024-05-19 18:00:00,66806.67,66586.21,TREND_REVERSAL,-0.3299969898215131,2024
BUY,2024-05-24 18:00:00,2024-05-26 21:00:00,68919.02,68518.02,TREND_REVERSAL,-0.581842283886219,2024
BUY,2024-06-09 13:00:00,2024-06-09 13:00:00,69712.96,69484.69696759262,STOP,-0.32743270750142217,2024
SELL,2024-06-11 02:00:00,2024-06-11 04:00:00,68724.0,67789.26443692498,TAKE_PROFIT,1.360129740811106,2024
BUY,2024-06-12 13:00:00,2024-06-12 18:00:00,69339.29,68661.7415198443,STOP,-0.9771494345495731,2024
SELL,2024-06-12 20:00:00,2024-06-12 21:00:00,67532.92,68473.29290258014,STOP,-1.3924659300680973,2024
SELL,2024-06-17 07:00:00,2024-06-17 13:00:00,66132.4,65410.156919243775,TAKE_PROFIT,1.0921168455344425,2024
