market,variant,signal_time,entry_time,entry_price,atr,adx,up_1_0atr_hour,down_1_0atr_hour,up_1_5atr_hour,down_1_5atr_hour,up_2_0atr_hour,down_2_0atr_hour,up_2_5atr_hour,down_2_5atr_hour,up_3_0atr_hour,down_3_0atr_hour,time_24h_ret_pct,time_48h_ret_pct
BINANCE_SPOT,V1.5A_CURRENT,2025-09-30 19:00:00,2025-09-30 20:00:00,114359.99,512.3504100998044,29.236089482019683,13.0,4.0,13.0,,13.0,,13.0,,13.0,,2.692847384824005,5.66325687856391
BINANCE_SPOT,V1.5A_CURRENT,2026-04-13 14:00:00,2026-04-13 15:00:00,72400.15,405.85430389683233,30.00527292374807,5.0,1.0,5.0,1.0,5.0,,5.0,,8.0,,3.6097577145903728,2.4194148769028843
BINANCE_SPOT,V1.5A_CURRENT,2026-05-05 02:00:00,2026-05-05 03:00:00,80554.69,513.301324135796,25.955118230821242,1.0,61.0,10.0,61.0,11.0,63.0,30.0,,32.0,,1.0041004440585537,0.6935040033050766
BINANCE_SPOT,V1.5A_CURRENT,2026-06-14 21:00:00,2026-06-14 22:00:00,65311.59,330.0925461118671,28.701388156242597,2.0,1.0,3.0,61.0,6.0,62.0,14.0,70.0,14.0,70.0,1.6177220612757974,0.712553468687571
BINANCE_SPOT,V1.9B_ROBUST,2020-06-07 19:00:00,2020-06-07 20:00:00,9775.51,81.53495511270458,34.69194097978703,29.0,1.0,71.0,13.0,71.0,29.0,71.0,29.0,,,-0.8271691195651233,-0.45378706584107203
BINANCE_SPOT,V1.9B_ROBUST,2021-01-03 05:00:00,2021-01-03 06:00:00,33758.67,701.3915907702363,25.910280792283277,2.0,10.0,71.0,11.0,71.0,13.0,71.0,26.0,,26.0,-2.8012359491650476,-9.841679189375643
BINANCE_SPOT,V1.9B_ROBUST,2021-02-11 14:00:00,2021-02-11 15:00:00,47864.81,785.727957810484,29.853253257529396,6.0,3.0,64.0,7.0,70.0,24.0,,,,,-2.7521471410833924,-1.917713660620394
BINANCE_SPOT,V1.9B_ROBUST,2021-12-26 23:00:00,2021-12-27 00:00:00,50775.48,373.54417737561164,25.89509845145161,4.0,25.0,14.0,25.0,15.0,26.0,18.0,26.0,18.0,26.0,-0.14581841471513587,-6.3647650401335545
BINANCE_SPOT,V1.9B_ROBUST,2022-03-22 03:00:00,2022-03-22 04:00:00,42236.46,351.9280558357051,25.026375104681172,1.0,22.0,1.0,,1.0,,1.0,,1.0,,-0.3847860355721024,1.127959113997725
BINANCE_SPOT,V1.9B_ROBUST,2022-07-18 06:00:00,2022-07-18 07:00:00,22197.69,266.892232244468,25.545070598812536,2.0,6.0,9.0,13.0,9.0,13.0,18.0,13.0,33.0,13.0,-1.969844609957155,7.13596775159938
BINANCE_SPOT,V1.9B_ROBUST,2022-07-19 14:00:00,2022-07-19 15:00:00,22626.18,355.0064748204097,25.253879049109283,1.0,,1.0,,2.0,,3.0,,5.0,,6.9175176720064915,-0.30044841860181243
BINANCE_SPOT,V1.9B_ROBUST,2023-01-25 22:00:00,2023-01-25 23:00:00,22933.23,269.2913677407568,31.74167904926022,1.0,27.0,46.0,,46.0,,,,,,0.3076758049345919,0.326992752438281
BINANCE_SPOT,V1.9B_ROBUST,2023-02-17 20:00:00,2023-02-17 21:00:00,24820.92,289.162118880663,29.526947131707203,44.0,1.0,,2.0,,2.0,,2.0,,53.0,-0.9114086020985424,-1.2183271208319346
BINANCE_SPOT,V1.9B_ROBUST,2023-03-17 02:00:00,2023-03-17 03:00:00,25578.86,313.53014047682916,25.131577459447694,4.0,,4.0,,6.0,,8.0,,8.0,,6.6934961135875435,6.009689251201966
BINANCE_SPOT,V1.9B_ROBUST,2023-03-23 16:00:00,2023-03-23 17:00:00,28464.96,317.43193446972623,25.23360339505027,,2.0,,2.0,,2.0,,24.0,,27.0,-3.003587568716055,-3.454703607523065
BINANCE_SPOT,V1.9B_ROBUST,2023-03-26 13:00:00,2023-03-26 14:00:00,28150.0,166.15279006520427,26.242556619681583,67.0,1.0,67.0,1.0,67.0,1.0,67.0,1.0,67.0,3.0,-1.6234813499111842,-4.504547069271754
BINANCE_SPOT,V1.9B_ROBUST,2023-08-14 03:00:00,2023-08-14 04:00:00,29399.91,62.53496065844164,29.318751189422777,3.0,10.0,5.0,15.0,11.0,15.0,11.0,40.0,11.0,40.0,0.0071428790088083425,-0.5829949819574327
BINANCE_SPOT,V1.9B_ROBUST,2023-09-15 23:00:00,2023-09-16 00:00:00,26599.99,142.29006725665982,27.432819795505438,3.0,11.0,58.0,49.0,58.0,,59.0,,59.0,,-0.15157900435302174,-0.2724813054441118
BINANCE_SPOT,V1.9B_ROBUST,2023-10-29 13:00:00,2023-10-29 14:00:00,34379.99,122.1384115249678,25.044738903455254,1.0,13.0,4.0,13.0,4.0,18.0,4.0,28.0,5.0,,0.8168995977020312,-0.5031415076036845
BINANCE_SPOT,V1.9B_ROBUST,2023-11-07 18:00:00,2023-11-07 19:00:00,35377.0,206.89924879648697,26.40347536804385,2.0,12.0,2.0,,2.0,,27.0,,29.0,,0.600870622155637,2.802809735138658
BINANCE_SPOT,V1.9B_ROBUST,2023-12-20 14:00:00,2023-12-20 15:00:00,43867.04,338.44656319041985,27.491256999589595,1.0,2.0,40.0,6.0,,,,,,,-0.7917333834240872,-0.5257933975030032
BINANCE_SPOT,V1.9B_ROBUST,2024-01-04 21:00:00,2024-01-04 22:00:00,44430.86,451.9068515796389,28.566913934567417,,3.0,,4.0,,4.0,,4.0,,4.0,-1.0906833673712337,-1.2185899620218927
BINANCE_SPOT,V1.9B_ROBUST,2024-05-15 12:00:00,2024-05-15 13:00:00,63757.57,507.09299316937194,33.17952091369305,1.0,,1.0,,3.0,,3.0,,6.0,,3.5343881518696447,4.113080219337094
BINANCE_SPOT,V1.9B_ROBUST,2024-05-17 15:00:00,2024-05-17 16:00:00,67195.09,496.7375064257413,40.848097975556946,43.0,2.0,,3.0,,52.0,,52.0,,,-0.552808248340752,-0.4542147350349436
BINANCE_SPOT,V1.9B_ROBUST,2024-09-17 10:00:00,2024-09-17 11:00:00,59235.99,368.5745786534294,28.20646024489453,4.0,,4.0,,4.0,,4.0,,4.0,,1.1336013798368187,5.206328112351974
BINANCE_SPOT,V1.9B_ROBUST,2025-01-20 06:00:00,2025-01-20 07:00:00,107482.36,1726.7340435731248,26.421979347887806,1.0,6.0,,9.0,,10.0,,11.0,,11.0,-4.936921742321259,-1.9561814608462291
BINANCE_SPOT,V1.9B_ROBUST,2025-03-25 19:00:00,2025-03-25 20:00:00,88116.23,526.3892758283655,27.990323369128777,,3.0,,3.0,,8.0,,18.0,,19.0,-1.75795083380212,-1.1982128604457913
BINANCE_SPOT,V1.9B_ROBUST,2025-08-10 03:00:00,2025-08-10 04:00:00,118500.0,410.8235062567909,25.547284239344258,12.0,2.0,20.0,3.0,21.0,4.0,22.0,4.0,22.0,,2.7248860759493714,0.3018565400843857
BINANCE_SPOT,V1.9B_ROBUST,2025-09-30 20:00:00,2025-09-30 21:00:00,114626.36,519.5739522355335,30.235157744699578,12.0,2.0,12.0,3.0,12.0,,12.0,,12.0,,2.5384736983709457,5.256775143169507
BINANCE_SPOT,V1.9B_ROBUST,2026-04-13 15:00:00,2026-04-13 16:00:00,71866.59,434.8382821899161,30.668520122688452,1.0,,2.0,,4.0,,4.0,,4.0,,4.801229611701363,2.7516123973601716
BINANCE_SPOT,V1.9B_ROBUST,2026-05-05 02:00:00,2026-05-05 03:00:00,80554.69,513.301324135796,25.955118230821242,1.0,61.0,10.0,61.0,11.0,63.0,30.0,,32.0,,1.0041004440585537,0.6935040033050766
BINANCE_SPOT,V1.9B_ROBUST,2026-06-14 22:00:00,2026-06-14 23:00:00,65426.78,351.7916499610193,30.43739723527587,1.0,58.0,5.0,58.0,13.0,61.0,13.0,69.0,14.0,69.0,1.1914998720707295,0.5398706768084891
BYBIT_PERPETUAL,V1.5A_CURRENT,2020-07-10 23:00:00,2020-07-11 00:00:00,9278.0,33.19581248248049,25.12077524997242,38.0,10.0,38.0,10.0,,10.0,,10.0,,44.0,-0.5065746928217288,0.18322914421211467
BYBIT_PERPETUAL,V1.5A_CURRENT,2020-07-24 20:00:00,2020-07-24 21:00:00,9608.0,35.15819192375588,28.59119777399654,21.0,2.0,21.0,2.0,21.0,2.0,22.0,3.0,24.0,,0.9939633638634472,2.888218151540383
BYBIT_PERPETUAL,V1.5A_CURRENT,2021-01-03 05:00:00,2021-01-03 06:00:00,33803.5,658.9701208941905,29.907613720807277,2.0,10.0,2.0,10.0,71.0,13.0,71.0,26.0,71.0,26.0,-2.6121555460233408,-9.963465321638292
BYBIT_PERPETUAL,V1.5A_CURRENT,2021-03-08 20:00:00,2021-03-08 21:00:00,51770.5,594.107634690019,25.02205430159985,3.0,,5.0,,5.0,,5.0,,5.0,,5.061762973121758,8.682550873566992
BYBIT_PERPETUAL,V1.5A_CURRENT,2022-06-07 19:00:00,2022-06-07 20:00:00,31049.5,340.5290284748701,36.00528641498154,1.0,3.0,1.0,3.0,,3.0,,8.0,,8.0,-2.9565693489428173,-3.3575419894040164
BYBIT_PERPETUAL,V1.5A_CURRENT,2023-01-25 21:00:00,2023-01-25 22:00:00,23618.0,218.59031286207204,29.73335006391264,1.0,1.0,,1.0,,1.0,,1.0,,1.0,-2.2673384706579727,-2.273689558811076
BYBIT_PERPETUAL,V1.5A_CURRENT,2023-02-17 19:00:00,2023-02-17 20:00:00,24526.8,282.0976518724714,27.798782267379494,1.0,3.0,1.0,3.0,45.0,54.0,,54.0,,,0.32698925257269895,-0.030986512712618625
BYBIT_PERPETUAL,V1.5A_CURRENT,2023-08-14 04:00:00,2023-08-14 05:00:00,29400.4,65.34080422360962,29.668408560139795,4.0,9.0,10.0,14.0,10.0,14.0,10.0,14.0,11.0,39.0,-0.10510061087604745,-0.6761812764452283
BYBIT_PERPETUAL,V1.5A_CURRENT,2023-09-15 22:00:00,2023-09-15 23:00:00,26761.3,135.19760158857463,25.857593247531817,59.0,1.0,60.0,6.0,60.0,8.0,60.0,26.0,60.0,50.0,-0.8007832205460844,-1.0548814893147915
BYBIT_PERPETUAL,V1.5A_CURRENT,2023-11-07 18:00:00,2023-11-07 19:00:00,35408.9,216.93937898048068,25.826768990275777,2.0,12.0,2.0,21.0,2.0,,27.0,,29.0,,0.6023909243156258,2.7990138072631416
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-01-04 21:00:00,2024-01-04 22:00:00,44456.0,500.6942464650622,29.71089516763064,,4.0,,4.0,,4.0,,4.0,,4.0,-1.120883570271736,-1.2652960230340111
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-02-01 19:00:00,2024-02-01 20:00:00,43201.1,344.9282711030935,27.76553510767949,,3.0,,18.0,,,,,,,-0.370592415470899,-0.37151831782061107
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-02-26 15:00:00,2024-02-26 16:00:00,52899.2,310.83831630242105,25.503323408277993,1.0,,1.0,,1.0,,1.0,,4.0,,7.336216804791004,15.32612969572319
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-05-15 12:00:00,2024-05-15 13:00:00,63727.1,513.1610782508793,33.428654927930005,1.0,,1.0,,3.0,,3.0,,6.0,,3.5195387833433527,4.139055441091787
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-05-17 14:00:00,2024-05-17 15:00:00,66799.9,485.9056506802673,37.861187695108555,1.0,4.0,44.0,53.0,,53.0,,,,,-0.05838332093311518,0.13907206447915155
BYBIT_PERPETUAL,V1.5A_CURRENT,2024-09-17 10:00:00,2024-09-17 11:00:00,59210.0,380.8464475938343,27.816273986999153,4.0,,4.0,,4.0,,4.0,,4.0,,1.1391656814727242,5.184766086809663
BYBIT_PERPETUAL,V1.5A_CURRENT,2025-01-20 06:00:00,2025-01-20 07:00:00,107542.7,1773.2248559333443,26.264820129677375,1.0,6.0,,9.0,,10.0,,11.0,,11.0,-5.003407948656676,-2.0199418463549854
BYBIT_PERPETUAL,V1.5A_CURRENT,2025-03-25 19:00:00,2025-03-25 20:00:00,88053.8,530.8179449291808,28.052129363118322,,3.0,,3.0,,8.0,,18.0,,19.0,-1.7434795545450588,-1.1741685197004657
BYBIT_PERPETUAL,V1.5A_CURRENT,2025-05-18 22:00:00,2025-05-18 23:00:00,105936.9,692.2344711801873,26.151016097750947,1.0,2.0,2.0,3.0,54.0,4.0,54.0,5.0,56.0,5.0,-0.40071023411106044,0.7487476035262611
BYBIT_PERPETUAL,V1.5A_CURRENT,2025-08-10 03:00:00,2025-08-10 04:00:00,118488.9,494.0054287080515,29.1138669944345,12.0,2.0,20.0,3.0,21.0,4.0,22.0,,22.0,,2.717976114218294,0.30028129217167426
BYBIT_PERPETUAL,V1.5A_CURRENT,2025-09-30 19:00:00,2025-09-30 20:00:00,114314.7,532.068543438632,29.1477815683732,13.0,4.0,13.0,,13.0,,13.0,,13.0,,2.672097289325,5.652728826651349
BYBIT_PERPETUAL,V1.5A_CURRENT,2026-04-13 14:00:00,2026-04-13 15:00:00,72348.4,416.18071390972887,31.429523124190656,5.0,1.0,5.0,1.0,5.0,,5.0,,8.0,,3.6293822669195217,2.4369578318249
BYBIT_PERPETUAL,V1.5A_CURRENT,2026-05-05 02:00:00,2026-05-05 03:00:00,80520.6,532.7304913398236,25.6544131535365,1.0,61.0,11.0,61.0,11.0,72.0,30.0,,32.0,,1.0068230986853017,0.6939838997722176
BYBIT_PERPETUAL,V1.5A_CURRENT,2026-06-14 21:00:00,2026-06-14 22:00:00,65286.6,342.92069690669354,27.657118736569963,2.0,1.0,3.0,61.0,6.0,62.0,14.0,70.0,14.0,70.0,1.6092123039030959,0.707802213624233
BYBIT_PERPETUAL,V1.9B_ROBUST,2020-06-07 19:00:00,2020-06-07 20:00:00,9764.5,74.79522605061932,34.48735836666031,29.0,1.0,71.0,13.0,71.0,29.0,71.0,29.0,71.0,,-0.7424855343335552,-0.3840442418966665
BYBIT_PERPETUAL,V1.9B_ROBUST,2020-07-24 20:00:00,2020-07-24 21:00:00,9608.0,35.15819192375588,28.59119777399654,21.0,2.0,21.0,2.0,21.0,2.0,22.0,3.0,24.0,,0.9939633638634472,2.888218151540383
BYBIT_PERPETUAL,V1.9B_ROBUST,2021-01-03 05:00:00,2021-01-03 06:00:00,33803.5,658.9701208941905,29.907613720807277,2.0,10.0,2.0,10.0,71.0,13.0,71.0,26.0,71.0,26.0,-2.6121555460233408,-9.963465321638292
BYBIT_PERPETUAL,V1.9B_ROBUST,2021-02-11 13:00:00,2021-02-11 14:00:00,47669.0,805.5754203121523,26.043777022877073,7.0,8.0,11.0,25.0,65.0,,71.0,,,,0.5275965512177725,-1.3625207157691581
BYBIT_PERPETUAL,V1.9B_ROBUST,2021-03-08 20:00:00,2021-03-08 21:00:00,51770.5,594.107634690019,25.02205430159985,3.0,,5.0,,5.0,,5.0,,5.0,,5.061762973121758,8.682550873566992
BYBIT_PERPETUAL,V1.9B_ROBUST,2022-03-22 02:00:00,2022-03-22 03:00:00,41822.0,328.4815125935398,25.034283697988695,1.0,,1.0,,1.0,,2.0,,2.0,,1.1596767251685716,2.649323322653149
BYBIT_PERPETUAL,V1.9B_ROBUST,2022-07-18 06:00:00,2022-07-18 07:00:00,22186.5,265.933270781704,25.61852844757906,2.0,6.0,9.0,13.0,9.0,13.0,18.0,13.0,33.0,13.0,-1.9381155206995244,7.134969463412435
