removed_top_winners,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
1,19,9,10,47.368421052631575,-0.45367298025585323,-0.8990072440775378,99.10099275592246,0.9722137520699083,-0.023877525276623856,-0.20838332093311518,-10.998333374367808,3,1.0802375022998982,-0.046722310132670225,-0.08174031587119565,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2,18,8,10,44.44444444444444,-3.933055247175375,-4.231170900985134,95.76882909901487,0.759110961029395,-0.21850306928752083,-0.23174196590458132,-10.998333374367808,3,0.9488887012867439,-0.4373868893943273,-0.384710188076868,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
3,17,7,10,41.17647058823529,-7.302594030518728,-7.3529492090113,92.6470507909887,0.5527357874600196,-0.42956435473639576,-0.25510061087604746,-13.899522361055904,3,0.7896225535143138,-0.8944496697450127,-0.5290073297491871,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
0,14,8,6,57.14285714285714,17.587633262985946,17.37293782302713,117.37293782302713,1.9526515830378872,1.2562595187847105,1.0924241297387263,-8.322029429410483,2,1.4644886872784153,0.9898202870960808,2.0875842810204763,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
1,13,7,6,53.84615384615385,10.198751780093808,9.297104320548797,109.2971043205488,1.552425495974171,0.7845193676995237,1.0658738799095562,-8.322029429410483,2,1.330650425120718,0.6164418563675037,1.1171679215279327,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2,12,6,6,50.0,4.1646247358423265,3.077289705922297,103.0772897059223,1.2255810254873012,0.3470520613201939,0.1808672292155561,-8.322029429410483,2,1.2255810254873012,0.26712386392291626,0.36977635467702097,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
3,11,5,6,45.45454545454545,-1.726829295719269,-2.657593430344747,97.34240656965525,0.9064645801055402,-0.15698448142902446,-0.704139421478444,-10.14331219640937,2,1.0877574961266483,-0.11967531094766005,-0.26200449901221695,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
0,13,6,7,46.15384615384615,8.177733389697064,7.702991432271176,107.70299143227118,1.5531892458241787,0.6290564145920818,-0.3792598858443928,-13.190399551810705,6,1.8120541201282085,0.6433787734525004,0.5839846929590357,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
1,12,5,7,41.66666666666667,2.209650103901297,1.637198760872522,101.63719876087252,1.1494735296766327,0.1841375086584414,-0.6119414942471205,-13.190399551810705,6,1.6092629415472859,0.1945478705971027,0.12412048281340927,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
2,11,4,7,36.36363636363637,-3.4860145652927863,-3.839765728352006,96.160234271648,0.76418578640189,-0.31691041502661693,-0.8446231026498483,-13.923613492514109,7,1.3373251262033077,-0.3602762554664946,-0.27577365102934076,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
3,10,3,7,30.0,-7.965359382272178,-7.962445170291133,92.03755482970887,0.46117696195022057,-0.7965359382272178,-1.1116389149234174,-13.92361349251413,7,1.076079577883848,-0.9771159751680873,-0.5718662884869685,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
0,12,5,7,41.66666666666667,-1.7225475449672842,-7.935440070191078,92.06455992980892,0.9632564597049346,-0.1435456287472737,-3.0571899067218054,-22.151111144644176,3,1.3485590435869084,-0.043209511721838845,-0.35824117437602016,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
1,11,4,7,36.36363636363637,-33.3046179103259,-30.032595114078234,69.96740488592177,0.2895815423062473,-3.0276925373023547,-4.463759256070263,-30.03259511407823,3,0.5067676990359328,-1.6764912949904154,-1.0000000000000002,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2,10,3,7,30.0,-40.320668744499,-34.6197095290501,65.3802904709499,0.13992265637833345,-4.0320668744499,-5.007915641848646,-34.619709529050105,3,0.32648619821611136,-2.4299385141197924,-0.9999999999999998,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
3,9,2,7,22.22222222222222,-45.572598004949164,-37.882097810137324,62.117902189862676,0.027894123423181198,-5.063622000549907,-5.5520720276270294,-37.882097810137324,3,0.09762943198113419,-3.484634680082306,-1.0,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
0,12,6,6,50.0,-11.932420384803656,-11.809062515257665,88.19093748474234,0.38230660642403735,-0.9943683654003047,0.026346034215694092,-14.276776185737095,2,0.38230660642403735,-1.0931146860816927,-0.8271518977131024,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
1,11,5,6,45.45454545454545,-14.215279784487697,-13.777403171606323,86.22259682839368,0.264132160320593,-1.2922981622261542,-0.435423037716611,-14.276776185737095,2,0.31695859238471163,-1.3725546812375307,-0.9650220044333496,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
2,10,4,6,40.0,-16.07563010295904,-15.352149723798775,84.64785027620123,0.16782930939856738,-1.607563010295904,-1.0072776751205768,-15.842402322154713,3,0.25174396409785105,-1.6390146166408976,-0.9690544029632205,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
3,9,3,6,33.33333333333333,-17.595603647932588,-16.619511096797083,83.38048890320292,0.08914639454450389,-1.9550670719925098,-1.5791323125245424,-17.102423553564773,3,0.17829278908900778,-1.9065541935805785,-0.9717635073616784,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
