year,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
2024,6,3,3,50.0,7.603722780942593,7.519778280919269,107.51977828091927,2.8927502682243693,1.2672871301570987,0.39300476445909793,-2.5830967410797268,1,2.8927502682243693,0.8707108118440888,2.9111485301073254,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2025,5,2,3,40.0,-2.5448634991193955,-2.729514951114666,97.27048504888533,0.6663956294443633,-0.508972699823879,-0.5235119946824637,-7.491949430309274,3,0.9995934441665448,-0.34945663142267586,-0.3643263981564261,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2026,3,3,0,100.0,5.800692098597309,5.894443663904056,105.89444366390406,inf,1.9335640328657695,1.4802857519275643,0.0,0,inf,2.439731773250485,inf,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2022,1,0,1,0.0,-3.106569348942817,-3.106569348942827,96.89343065105717,0.0,-3.106569348942817,-3.106569348942817,-3.1065693489428226,1,0.0,0.0,-1.0000000000000013,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2023,5,2,3,40.0,-2.99384212519178,-2.984158564368599,97.0158414356314,0.17370730372436585,-0.598768425038356,-0.25510061087604746,-3.4210728655263534,2,0.2605609555865488,-1.168014062295139,-0.8722873442537645,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2024,6,3,3,50.0,9.545061962931328,9.667717467123211,109.66771746712321,5.77286673670936,1.5908436604885547,0.39039118026980446,-1.7848598622663414,2,5.772866736709359,1.2234986358706488,5.41651345940826,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2025,5,2,3,40.0,-2.507524333769502,-2.691549410810282,97.30845058918972,0.6699582656956524,-0.5015048667539004,-0.5507102341110605,-7.461748456805939,3,1.0049373985434789,-0.3454790807843968,-0.3607129651168141,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2026,3,3,0,100.0,5.795417669507919,5.888939285254651,105.88893928525465,inf,1.931805889835973,1.4592123039030958,0.0,0,inf,2.4358046702992264,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
2021,1,1,0,100.0,7.388881482892138,7.388881482892145,107.38888148289215,inf,7.388881482892138,7.388881482892138,0.0,0,inf,0.0,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2022,3,2,1,66.66666666666666,3.076333877616827,2.42519601226509,102.42519601226509,1.3696614994829157,1.0254446258722758,5.506909275465701,-8.322029429410483,1,0.6848307497414579,0.21934385629683367,0.29141882191552,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2023,5,2,3,40.0,-0.5567462476841617,-0.5801651248785191,99.41983487512148,0.7969261149926349,-0.11134924953683234,-0.704139421478444,-1.889835067386192,2,1.1953891724889523,-0.22361417058213645,-0.3069924645228107,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2024,2,1,1,50.0,-2.4358007180555887,-2.7063792967797013,97.2936207032203,0.6287053928646738,-1.2179003590277944,-1.2179003590277944,-6.560291130670281,1,0.6287053928646738,-0.22796916419750354,-0.41253951126147415,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2025,1,0,1,0.0,-0.8378537222464163,-0.8378537222464217,99.16214627775358,0.0,-0.8378537222464163,-0.8378537222464163,-0.8378537222464177,1,0.0,0.0,-1.0000000000000047,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2026,2,2,0,100.0,10.952818590463146,11.249618687276424,111.24961868727642,inf,5.476409295231573,5.476409295231573,0.0,0,inf,9.819320444535641,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL
2021,1,1,0,100.0,4.479344816979391,4.479344816979378,104.47934481697938,inf,4.479344816979391,4.479344816979391,0.0,0,inf,0.0,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
